Name,Website,Status,Program Category,Primary Location (City),Primary Location (Country),Description (SOSV),FA Code,Pre-Embed
Saana,saana.co,Written Off,FOOD-X,Jersey City,United States,"Kindly personalize nutrition and wellness products to help cancer patients fight back from the inside. The purpose is to provide your body with the best ""terrain"" as possible.Our customization algorithm, based on the patient’s symptoms, treatment & conditions, uses smart technology, the latest science & expert recommendations to curate & personalize meals, snacks and other holistic products – and delivers them right to your door.",FXNY081805,"Saana is based in Jersey City, United States. Description: Kindly personalize nutrition and wellness products to help cancer patients fight back from the inside. The purpose is to provide your body with the best ""terrain"" as possible.Our customization algorithm, based on the patient’s symptoms, treatment & conditions, uses smart technology, the latest science & expert recommendations to curate & personalize meals, snacks and other holistic products – and delivers them right to your door."
Miro (ESCHR Holdings Limited),miro.io,Acquired,Chinaccelerator,Santa Monica,United States,"Acquired by Greenfly in July 2023.

Miro builds one-of-a-kind AI for analyzing sports photos & video. We focus on athlete identity, brand recognition & unlocking context at scale.",CA141802,"Miro (ESCHR Holdings Limited) is based in Santa Monica, United States. Description: Acquired by Greenfly in July 2023.

Miro builds one-of-a-kind AI for analyzing sports photos & video. We focus on athlete identity, brand recognition & unlocking context at scale."
Misk,miskapp.com,Written Off,FOOD-X,Lisbon,Portugal,"Misk is the platform that moves dining word-of-mouth online. 

On the consumer side, Misk allows millennials to instantly know what restaurants, cafes and bars their friends recommend anywhere in the world. 
On the B2B side, Misk has an innovative business model in which offers tools for food and drink brands to reach a specific audience and increase their brand awareness.

We are on a mission to become the world most trusted dining platform. 

More on www.miskapp.com",FXNY081803,"Misk is based in Lisbon, Portugal. Description: Misk is the platform that moves dining word-of-mouth online. 

On the consumer side, Misk allows millennials to instantly know what restaurants, cafes and bars their friends recommend anywhere in the world. 
On the B2B side, Misk has an innovative business model in which offers tools for food and drink brands to reach a specific audience and increase their brand awareness.

We are on a mission to become the world most trusted dining platform. 

More on www.miskapp.com"
Naughty Noah's Vietnamese Pho Noodles,naturallynoahs.com,Written Off,FOOD-X,Houston,United States,"Founded in 2014  and launched in September 2017 in Houston, Texas as classically trained  Chef from The Culinary Institute of America, Hyde Park NY. Having gone through his personal health journey, Jimmy made it his purpose and mission to bring his Mothers inspired recipe (www.PhoLaJolla.com) and Naughty Noah’s Vietnamese Superfoods platform to  the plant-based and vegan food movement. As one of the healthiest functional food products available, our vision is to have more people in the world eat authentic Vietnamese meals because of its well-balanced cuisine, clean-label ingredients and authentic flavors. With the birth of his Son, Noah,  Naughty Noah’s is positioned to fulfill the demand of healthier ethnic options on the market today. Every one of its single-serve flavors offers the exotic spices and rich tastes of traditional Vietnamese pho in a quick, convenient light snack or meal that can be enjoyed anytime. 
Current Channels: AMAZON LaunchPad.com, AMAZON.com, World Market, Central Market, Specialty/Natural Food Grocers, NaughtyNoahs.com",FXNY081808,"Naughty Noah's Vietnamese Pho Noodles is based in Houston, United States. Description: Founded in 2014  and launched in September 2017 in Houston, Texas as classically trained  Chef from The Culinary Institute of America, Hyde Park NY. Having gone through his personal health journey, Jimmy made it his purpose and mission to bring his Mothers inspired recipe (www.PhoLaJolla.com) and Naughty Noah’s Vietnamese Superfoods platform to  the plant-based and vegan food movement. As one of the healthiest functional food products available, our vision is to have more people in the world eat authentic Vietnamese meals because of its well-balanced cuisine, clean-label ingredients and authentic flavors. With the birth of his Son, Noah,  Naughty Noah’s is positioned to fulfill the demand of healthier ethnic options on the market today. Every one of its single-serve flavors offers the exotic spices and rich tastes of traditional Vietnamese pho in a quick, convenient light snack or meal that can be enjoyed anytime. 
Current Channels: AMAZON LaunchPad.com, AMAZON.com, World Market, Central Market, Specialty/Natural Food Grocers, NaughtyNoahs.com"
PLANETARIANS,planetarians.com,Written Off,FOOD-X,San Francisco,United States,"What’s the ingredient innovation?- We find a better home for nutrients from industrial food and beverage sidestreams. This allows to earn on every pound, selling on par with animal meat when others lose. FDA-compliant. Patented. The pilot facility proved COGS and CapEx. Featured on the cover of Alt Meat Magazine, COP 28 and TechCrunch. Supply secured via strategic partnership and investment from AB InBev.",FXNY081801,"PLANETARIANS is based in San Francisco, United States. Description: What’s the ingredient innovation?- We find a better home for nutrients from industrial food and beverage sidestreams. This allows to earn on every pound, selling on par with animal meat when others lose. FDA-compliant. Patented. The pilot facility proved COGS and CapEx. Featured on the cover of Alt Meat Magazine, COP 28 and TechCrunch. Supply secured via strategic partnership and investment from AB InBev."
Jianghu,jianghu.gg,Written Down to Zero,Chinaccelerator,Shanghai,China,"Jianghu uses a training system to create, manage, market and monetize esports teams across multiple games. Roar has created 5 teams with 50+ players trained and traded over US$2m+ in commercial deals.",CA141801,"Jianghu is based in Shanghai, China. Description: Jianghu uses a training system to create, manage, market and monetize esports teams across multiple games. Roar has created 5 teams with 50+ players trained and traded over US$2m+ in commercial deals."
Spare Leash Limited,spareleash.com.cn,Written Down to Zero,Chinaccelerator,Gothenburg,Sweden,A platform that connects trusted pet sitters to animal owners in China.,CA141803,"Spare Leash Limited is based in Gothenburg, Sweden. Description: A platform that connects trusted pet sitters to animal owners in China."
TestSharing,testsharing.com,Written Off,FOOD-X,New York City,United States,TestSharing is a crowdfunding platform for consumer requested food testing. It's your new mobile tool to find out what is really in your favorite food!,FXNY081804,"TestSharing is based in New York City, United States. Description: TestSharing is a crowdfunding platform for consumer requested food testing. It's your new mobile tool to find out what is really in your favorite food!"
Timepop (also Vibe),timepop.app,Written Off,Chinaccelerator,San Francisco,United States,It is a free app where you share your goals and plans. So your friends and support and join you in your journey.,CA141805,"Timepop (also Vibe) is based in San Francisco, United States. Description: It is a free app where you share your goals and plans. So your friends and support and join you in your journey."
Yem Innovation (美汉施网络科技(苏州)有限公司),yem-innovation.com,Written Down to Zero,Chinaccelerator,Shanghai,China,"Yem Innovation, is a HR SaaS 3.0 cloud platform to drive innovation from employees, stimulating idea generation, manage their ideas, and implement their ideas. We are an incubator for employee ideas, helping corporations to innovate, build competitive advantage, and improve employee loyalty and engagement.",CA141807,"Yem Innovation (美汉施网络科技(苏州)有限公司) is based in Shanghai, China. Description: Yem Innovation, is a HR SaaS 3.0 cloud platform to drive innovation from employees, stimulating idea generation, manage their ideas, and implement their ideas. We are an incubator for employee ideas, helping corporations to innovate, build competitive advantage, and improve employee loyalty and engagement."
Ostoform,ostoform.com,Operating,Portfolio: Bill Liao,Mullingar,Ireland,"Ostoform was born from a need to improve skin health for the ostomates who must regularly cope with appliance leaks and the discomfort of damaged peristomal skin. Following several years of speaking with ostomates and understanding their needs in detail, we set out to solve their problems with the Ostoform Mouldable Seal with FLOWASSIST protection.",IRE18002,"Ostoform is based in Mullingar, Ireland. Description: Ostoform was born from a need to improve skin health for the ostomates who must regularly cope with appliance leaks and the discomfort of damaged peristomal skin. Following several years of speaking with ostomates and understanding their needs in detail, we set out to solve their problems with the Ostoform Mouldable Seal with FLOWASSIST protection."
9d Biotech,osmotin.com,Acquired,IndieBio,Thousand Oaks,United States,Salt and drought resistant olive plants engineered for sustainability.,IBSF021501,"9d Biotech is based in Thousand Oaks, United States. Description: Salt and drought resistant olive plants engineered for sustainability."
Brickant Tech Limited,,Written Off,HAX China,Shenzhen,China,,HAXC021805,"Brickant Tech Limited is based in Shenzhen, China. Description: "
ShapeMeasure,shapemeasure.com,Written Off,HAX,Vancouver,Canada,ShapeMeasure technology allows customers to install flawless floors ten times faster for a fraction of the price. Their smart tools create a scan of the construction site and then automatically cut material offsite to fit.,HAX180302,"ShapeMeasure is based in Vancouver, Canada. Description: ShapeMeasure technology allows customers to install flawless floors ten times faster for a fraction of the price. Their smart tools create a scan of the construction site and then automatically cut material offsite to fit."
TEAMOSA,teamosa.com,Operating,HAX,Gaithersburg,United States,"TEAMOSA is the first of its kind—a tea-brewing machine that combines modern science with the art of traditional eastern tea making. The machine is focused on elevating the age-old ritual experience through premium technology and exceptional tea from tea plantations directly, resulting in a perfectly-steeped cup of tea rich in antioxidants and aroma.",HAX101713,"TEAMOSA is based in Gaithersburg, United States. Description: TEAMOSA is the first of its kind—a tea-brewing machine that combines modern science with the art of traditional eastern tea making. The machine is focused on elevating the age-old ritual experience through premium technology and exceptional tea from tea plantations directly, resulting in a perfectly-steeped cup of tea rich in antioxidants and aroma."
Achiko,achiko.com,Operating,MOX,Jakarta,Indonesia,"Achiko has created user-friendly diagnostic testing integrated with a digital passport solution for the management of COVID-19. AptameX™ includes DNA aptamer-based technology that is cost effective, chemically synthesised, and widely applicable to the evolving diagnostic field of healthcare. Together with the digital mobile health app Teman Sehat™, Achiko is developing potential technologies that seek to deliver rapid, affordable diagnostic testing for a range of pathogenic diseases and therapeutic indications.  AptameX™ and Teman Sehat™ were launched in Indonesia in mid-2021 and AptameX™ received the CE Mark in the European Union in May 2022.",MOX051803,"Achiko is based in Jakarta, Indonesia. Description: Achiko has created user-friendly diagnostic testing integrated with a digital passport solution for the management of COVID-19. AptameX™ includes DNA aptamer-based technology that is cost effective, chemically synthesised, and widely applicable to the evolving diagnostic field of healthcare. Together with the digital mobile health app Teman Sehat™, Achiko is developing potential technologies that seek to deliver rapid, affordable diagnostic testing for a range of pathogenic diseases and therapeutic indications.  AptameX™ and Teman Sehat™ were launched in Indonesia in mid-2021 and AptameX™ received the CE Mark in the European Union in May 2022."
ClearDekho,cleardekho.com,Written Down,MOX,Ghaziabad,India,"ClearDekho is the Warby Parker for India's mass market, offering a quick and easy purchase of USD $7 glasses through online and offline stores. The brand converts local optical stores into ClearDekho-branded retail stores to deliver standardized and consistent affordable eyewear products and services to  customers. Our company also provides on-demand eye check-up services and eye tests at workplaces, schools, and universities to help consumers get their favorite pair of eyeglasses delivered at doorstep.",MOX051802,"ClearDekho is based in Ghaziabad, India. Description: ClearDekho is the Warby Parker for India's mass market, offering a quick and easy purchase of USD $7 glasses through online and offline stores. The brand converts local optical stores into ClearDekho-branded retail stores to deliver standardized and consistent affordable eyewear products and services to  customers. Our company also provides on-demand eye check-up services and eye tests at workplaces, schools, and universities to help consumers get their favorite pair of eyeglasses delivered at doorstep."
Pushme,pushme.bike,Acquired,HAX,London,United Kingdom,Pushme is charging-as-a-service for electric bicycles and scooters.,HAX111706,"Pushme is based in London, United Kingdom. Description: Pushme is charging-as-a-service for electric bicycles and scooters."
Billo,billo.app,Operating,MOX,,Lithuania,Effortless creator-produced videos. Digital marketers turn to Billo for all UGC content needs.,MOX051801,"Billo is based in , Lithuania. Description: Effortless creator-produced videos. Digital marketers turn to Billo for all UGC content needs."
Actvcontent,actvcontent.com,Written Off,HAX Growth,Middleton,United States,"Actvcontent offers real-time factory-wide visibility throughout the manufacturing process.

Actvcontent’s solution delivers real-time insights and and connects with sensors to deliver data at key points in the supply chain process. Managers can track issues and assign them for rework/repairs. The platform also enables manufacturers to shorten production cycles, save time on addressing quality issues, and improve product traceability for customers.",HAXB021602,"Actvcontent is based in Middleton, United States. Description: Actvcontent offers real-time factory-wide visibility throughout the manufacturing process.

Actvcontent’s solution delivers real-time insights and and connects with sensors to deliver data at key points in the supply chain process. Managers can track issues and assign them for rework/repairs. The platform also enables manufacturers to shorten production cycles, save time on addressing quality issues, and improve product traceability for customers."
Appfuel,appfuel.me,Acquired,Chinaccelerator,Redondo Beach,United States,Double a game's exposure at any moment with Appfuel's in-app suggestion platform. Appfuel makes it easy and free for apps to swap suggestions for each other and acquire quality users for their game without drowning in opaque and fragmented ad-tech middlemen.,CA031203,"Appfuel is based in Redondo Beach, United States. Description: Double a game's exposure at any moment with Appfuel's in-app suggestion platform. Appfuel makes it easy and free for apps to swap suggestions for each other and acquire quality users for their game without drowning in opaque and fragmented ad-tech middlemen."
Affinity Wulfrun,affinitywulfrun.com,Acquired,IndieBio,Uşak,Turkey,"Affinity has developed a technology platform that can reduce the cost of manufacturing biologics for uses in drug therapies and biosensors.

Also Affinity provides a consulting service on the scientific needs of our customers. Our services offer customers a single resource for the manufacturing of their products.",IBSF011502,"Affinity Wulfrun is based in Uşak, Turkey. Description: Affinity has developed a technology platform that can reduce the cost of manufacturing biologics for uses in drug therapies and biosensors.

Also Affinity provides a consulting service on the scientific needs of our customers. Our services offer customers a single resource for the manufacturing of their products."
Afineur,afineur.com,Written Off,RebelBio,New York City,United States,"Afineur is a biotechnology company pioneering the use of controlled natural fermentations to make better, healthier, and more sustainable food products.  Cultured Coffee, the first product, is an incredible premium coffee product that is easier to digest with low bitterness and shining fruit and caramel notes.",IBEU011404,"Afineur is based in New York City, United States. Description: Afineur is a biotechnology company pioneering the use of controlled natural fermentations to make better, healthier, and more sustainable food products.  Cultured Coffee, the first product, is an incredible premium coffee product that is easier to digest with low bitterness and shining fruit and caramel notes."
AGADA,agada.co,Written Off,Chinaccelerator,Shanghai,China,"Agada, founded in 2014 and headquartered in Shanghai, China, is an online market place for international patients, healthcare providers, and general service agents. We deliver value to our customer segments by facilitating the exchange of information through web technologies and enhancing health care provider branding through customer reviews and Agada's system of vendor certification. Backed by China Accelerator, a member of the Global Accelerator Network, Agada has begun branding prominent U.S. healthcare providers to the China market and is planning expansions into the Middle East, Europe, and Greater Asia region.",CA051403,"AGADA is based in Shanghai, China. Description: Agada, founded in 2014 and headquartered in Shanghai, China, is an online market place for international patients, healthcare providers, and general service agents. We deliver value to our customer segments by facilitating the exchange of information through web technologies and enhancing health care provider branding through customer reviews and Agada's system of vendor certification. Backed by China Accelerator, a member of the Global Accelerator Network, Agada has begun branding prominent U.S. healthcare providers to the China market and is planning expansions into the Middle East, Europe, and Greater Asia region."
Ageria,ageria-bio.com,Written Off,RebelBio,Cork,Ireland,"We are naturally engineering yogurt to produce more natural healthy compounds, our first product utilizing a valuable but highly unstable anti-aging compound called SAM. Using yogurt as a customizable bioreactor, the vision is to develop a yogurt platform to make health more accessible and enjoyable.",IBEU021501,"Ageria is based in Cork, Ireland. Description: We are naturally engineering yogurt to produce more natural healthy compounds, our first product utilizing a valuable but highly unstable anti-aging compound called SAM. Using yogurt as a customizable bioreactor, the vision is to develop a yogurt platform to make health more accessible and enjoyable."
Agrilicious,agrilicious.org,Written Off,FOOD-X,Bothell,United States,"First-of-its-Kind National Destination and Marketplace For All Things Local Food and Handmade Goods. Agrilicious.com is at the heart of the food movement providing an exciting way to participate in the local food experience while expanding the family-to-farmer connection. A resource for all things local food – individuals, families, farmers, restaurants, grocery and meal delivery services, distributers, educators and experts all come together through Agrilicious to share ideas, connect, and make a difference!",FXNY011505,"Agrilicious is based in Bothell, United States. Description: First-of-its-Kind National Destination and Marketplace For All Things Local Food and Handmade Goods. Agrilicious.com is at the heart of the food movement providing an exciting way to participate in the local food experience while expanding the family-to-farmer connection. A resource for all things local food – individuals, families, farmers, restaurants, grocery and meal delivery services, distributers, educators and experts all come together through Agrilicious to share ideas, connect, and make a difference!"
AGRON Solutions,agronsolutions.com,Written Off,FOOD-X,Guadalajara,Mexico,"The UN estimates that soil's capacity to produce food will end in 50 years. We automate soil analysis, measuring the same variables as labs but 10x faster. AGRON helps farmers understand how their soil dynamics are changing, to  maintain soil fertility while improving its crop yield.",FXNY061707,"AGRON Solutions is based in Guadalajara, Mexico. Description: The UN estimates that soil's capacity to produce food will end in 50 years. We automate soil analysis, measuring the same variables as labs but 10x faster. AGRON helps farmers understand how their soil dynamics are changing, to  maintain soil fertility while improving its crop yield."
AJ Team Products,pridewatches.com,Written Off,Portfolio: Bill Liao,Dublin,Ireland,,OPP12002,"AJ Team Products is based in Dublin, Ireland. Description: "
Alchema,alchema.com,Written Off,HAX Growth,Taipei,Taiwan,"Alchema is a connected smart cider-brewing device that turns fresh fruit into perfect craft cider or mead in just two weeks. 

The smart brewing capsule contains several sensors that constantly monitor and upload data to the cloud, enabling Alchema to continually observe the brewing progress happening inside the bottle via the mobile App.

Alchema helps you to experiment and create your own cider at home in 3 easy steps: choose a recipe on the app, add ingredients (fruit, sugar and water), and add a yeast packet - and that's it.",HAXB031601,"Alchema is based in Taipei, Taiwan. Description: Alchema is a connected smart cider-brewing device that turns fresh fruit into perfect craft cider or mead in just two weeks. 

The smart brewing capsule contains several sensors that constantly monitor and upload data to the cloud, enabling Alchema to continually observe the brewing progress happening inside the bottle via the mobile App.

Alchema helps you to experiment and create your own cider at home in 3 easy steps: choose a recipe on the app, add ingredients (fruit, sugar and water), and add a yeast packet - and that's it."
Keel Labs,keellabs.com,Written Down to Zero,RebelBio,Morrisville,United States,"Keel Labs™ began in 2017 as AlgiKnit, creating ocean-focused materials built from renewable resources. In 2022, Keel Labs was established as a platform for innovation, broadening our vision for the potential of the ocean to accelerate our planet’s development towards a more sustainable future.  

Driven by the exploration of novel resources from the ocean, Keel Labs™ functions as a hub for the next generation of climate-focused solutions derived from nature. So, though our name has changed, our mission remains the same: Keel Labs™ works at the nexus of design, science, and engineering to create impact-driven materials harnessing the power of the ocean.",IBEU051801,"Keel Labs is based in Morrisville, United States. Description: Keel Labs™ began in 2017 as AlgiKnit, creating ocean-focused materials built from renewable resources. In 2022, Keel Labs was established as a platform for innovation, broadening our vision for the potential of the ocean to accelerate our planet’s development towards a more sustainable future.  

Driven by the exploration of novel resources from the ocean, Keel Labs™ functions as a hub for the next generation of climate-focused solutions derived from nature. So, though our name has changed, our mission remains the same: Keel Labs™ works at the nexus of design, science, and engineering to create impact-driven materials harnessing the power of the ocean."
All Beauty,allbeautywater.com,Written Off,FOOD-X,New York City,United States,"All Beauty Water is a nutrient enhanced skincare drink formulated to help hydrate and nourish your skin from within- Beauty From Within. We started All Beauty with the dream of encouraging people to make the connection between what they put into their bodies and their looks. Each bottle has 2 glasses of water + 8 SkinVitamins +7 SkinNutrients (including minerals, antioxidants and electrolytes). Each is 0 calorie (no sugar). The drink is all natural and has nothing artificial in it- no artificial sweeteners, flavors or preservatives.  Kosher certified, Vegan, Gluten-free, GMO-free.",FXNY051706,"All Beauty is based in New York City, United States. Description: All Beauty Water is a nutrient enhanced skincare drink formulated to help hydrate and nourish your skin from within- Beauty From Within. We started All Beauty with the dream of encouraging people to make the connection between what they put into their bodies and their looks. Each bottle has 2 glasses of water + 8 SkinVitamins +7 SkinNutrients (including minerals, antioxidants and electrolytes). Each is 0 calorie (no sugar). The drink is all natural and has nothing artificial in it- no artificial sweeteners, flavors or preservatives.  Kosher certified, Vegan, Gluten-free, GMO-free."
Allsome,allsome.com,Operating,Chinaccelerator,Shenzhen,China,AllSome is an end-to-end fulfillment platform for e-commerce sellers across Southeast Asia to build and autorun fulfillment operations,CA111705,"Allsome is based in Shenzhen, China. Description: AllSome is an end-to-end fulfillment platform for e-commerce sellers across Southeast Asia to build and autorun fulfillment operations"
"Alpha Revolution, Inc.",bestbeer.us,Written Off,HAX Growth,San Jose,United States,"HOPii is a smart brewing platform that allows beer drinkers to ferment perfectly from their homes with the touch of a button, enabling everyone to experience the fresh out-of-tank experience that you would get at a brewery in your home.

HOPii is the most sophisticated yet easiest-to-use home brewing device ever. The intelligence of brewing a great beer is built into the unit, so you don't have to worry about how to make a great beer. We made HOPii extremely easy to use, as easy as turning on a TV.",HAXB071703,"Alpha Revolution, Inc. is based in San Jose, United States. Description: HOPii is a smart brewing platform that allows beer drinkers to ferment perfectly from their homes with the touch of a button, enabling everyone to experience the fresh out-of-tank experience that you would get at a brewery in your home.

HOPii is the most sophisticated yet easiest-to-use home brewing device ever. The intelligence of brewing a great beer is built into the unit, so you don't have to worry about how to make a great beer. We made HOPii extremely easy to use, as easy as turning on a TV."
Alpine Labs,alpinelaboratories.com,Acquired,HAX Growth,San Diego,United States,"At our core, we make products that allow you to better control your camera. Pulse is the most powerful way to control your camera from your smartphone. Pulse plugs into your DSLR or mirrorless camera's USB port, so whether you're shooting photos, time lapse, or video, you get complete creative freedom—remotely from your smartphone—with your current camera. Radian connects to your camera via the USB or trigger port and is wirelessly programmed from your phone using Bluetooth, making it intuitive and simple to shoot motion time lapses.",HAXB011501,"Alpine Labs is based in San Diego, United States. Description: At our core, we make products that allow you to better control your camera. Pulse is the most powerful way to control your camera from your smartphone. Pulse plugs into your DSLR or mirrorless camera's USB port, so whether you're shooting photos, time lapse, or video, you get complete creative freedom—remotely from your smartphone—with your current camera. Radian connects to your camera via the USB or trigger port and is wirelessly programmed from your phone using Bluetooth, making it intuitive and simple to shoot motion time lapses."
Alternative Plants,alternativeplants.eu,Operating,RebelBio,Riga,Latvia,"Alternative Plants efficiently cultivates established plant cell cultures to produce bioactive ingredients that are sustainable, environmentally friendly, and have  superior performance characteristics. We ensure consistent quality and strong efficacy with our controlled, sustainable, and highly-standardized cell cultivation and extraction process—combined with scrupulous chemical and biological characterization.",IBEU041705,"Alternative Plants is based in Riga, Latvia. Description: Alternative Plants efficiently cultivates established plant cell cultures to produce bioactive ingredients that are sustainable, environmentally friendly, and have  superior performance characteristics. We ensure consistent quality and strong efficacy with our controlled, sustainable, and highly-standardized cell cultivation and extraction process—combined with scrupulous chemical and biological characterization."
Aluna Medical Diagnostics,alunacare.com,Written Down,IndieBio,San Francisco,United States,"Aluna is a portable spirometer with a mobile interface that objectively tracks asthma severity to allow for a personalized and real-time action plan. Aluna automatically tracks your FEV1% over time. You can also monitor your symptoms, medication, exercise, and environmental factors. With the Aluna app, you can easily share your lung health data with your healthcare professional.",IBSF031608,"Aluna Medical Diagnostics is based in San Francisco, United States. Description: Aluna is a portable spirometer with a mobile interface that objectively tracks asthma severity to allow for a personalized and real-time action plan. Aluna automatically tracks your FEV1% over time. You can also monitor your symptoms, medication, exercise, and environmental factors. With the Aluna app, you can easily share your lung health data with your healthcare professional."
"Amaryllis Nucleics, Inc.",amaryllisnucleics.com,Written Down to Zero,IndieBio,Leamington,Canada,"At Amaryllis Nucleics, our technology cuts the time and cost of RNA sequencing, empowering researchers and accelerating important discoveries in genomics. We take advantage of the natural phenomenon of DNA breathing to capture the 5’ adapter. This eliminates several steps and reduces the cost and time for RNA-sequencing library synthesis.",IBSF031601,"Amaryllis Nucleics, Inc. is based in Leamington, Canada. Description: At Amaryllis Nucleics, our technology cuts the time and cost of RNA sequencing, empowering researchers and accelerating important discoveries in genomics. We take advantage of the natural phenomenon of DNA breathing to capture the 5’ adapter. This eliminates several steps and reduces the cost and time for RNA-sequencing library synthesis."
Amber Agriculture,amber.ag,Operating,HAX,Chicago,United States,"Amber Agriculture helps farmers manage grain assets leveraging IoT and analytics. Its core technology is a kernel-like sensor that can flow with grain across the supply chain, creating analytics on quality changes and historical location.",HAX091604,"Amber Agriculture is based in Chicago, United States. Description: Amber Agriculture helps farmers manage grain assets leveraging IoT and analytics. Its core technology is a kernel-like sensor that can flow with grain across the supply chain, creating analytics on quality changes and historical location."
Amino Labs,amino.bio,Written Down,IndieBio,Lethbridge,Canada,"Amino Labs is pioneering accessible genetic engineering by enabling non-experts to begin learning and doing genetic engineering projects outside of traditional environments. With a technology ecosystem that includes a new type of lab equipment called a minilab, a wide range of genetic engineering wetware kits, and online software simulations, Amino Labs offers the most comprehensive range of genetic engineering education products on the market. Amino Labs is unique in that it is the only company that tailors products for non-experts.",IBSF021502,"Amino Labs is based in Lethbridge, Canada. Description: Amino Labs is pioneering accessible genetic engineering by enabling non-experts to begin learning and doing genetic engineering projects outside of traditional environments. With a technology ecosystem that includes a new type of lab equipment called a minilab, a wide range of genetic engineering wetware kits, and online software simulations, Amino Labs offers the most comprehensive range of genetic engineering education products on the market. Amino Labs is unique in that it is the only company that tailors products for non-experts."
Amp your Good,ampyourgood.com,Operating,FOOD-X,New York City,United States,"We’re Kickstarter for hunger. We’re disrupting the traditional food drive model (physical collection) with an online giving model called crowd-feeding. Crowd-feeding enables people to donate perishable food—fruits, vegetables, and other healthy food items—instead of non-perishable food.",FXNY021509,"Amp your Good is based in New York City, United States. Description: We’re Kickstarter for hunger. We’re disrupting the traditional food drive model (physical collection) with an online giving model called crowd-feeding. Crowd-feeding enables people to donate perishable food—fruits, vegetables, and other healthy food items—instead of non-perishable food."
Amper,amper.xyz,Operating,HAX,Chicago,United States,"Amper is a clip-on device to help factory owners and managers analyze power consumption of their machines, predict downtime, and deploy predictive maintenance.",HAX091605,"Amper is based in Chicago, United States. Description: Amper is a clip-on device to help factory owners and managers analyze power consumption of their machines, predict downtime, and deploy predictive maintenance."
AngelList,angel.co,Operating,Portfolio: Cyril Ebersweiler,San Francisco,United States,"AngelList is a platform for startups to meet investors, talent, and incubators. Accredited investors can invest in syndicates alongside some of the best angel investors in the world, while over 10,000 companies are actively hiring from our pool of over 200,000 active candidates. Our mission is to serve startups and eliminate the frictions along their way in the most meaningful way possible.",OPP13002,"AngelList is based in San Francisco, United States. Description: AngelList is a platform for startups to meet investors, talent, and incubators. Accredited investors can invest in syndicates alongside some of the best angel investors in the world, while over 10,000 companies are actively hiring from our pool of over 200,000 active candidates. Our mission is to serve startups and eliminate the frictions along their way in the most meaningful way possible."
AngelVest,angelvestgroup.com,Operating,Portfolio: William Bao Bean,Shanghai,China,"AngelVest Group was launched in 2007, in affiliation with the Shanghai chapter of the Asia America Multi Technology Association (“AAMA”), one of Silicon Valley’s leading business networks (www.aamasv.com). Their mission is to help their members identify and invest in compelling early-stage businesses in China. They also provide a venue for entrepreneurs to raise early-stage capital from accredited angel investors.  Entrepreneurs typically seek to raise from US $100K to $500K, and can enjoy the benefits of continued interaction and mentorship by their angel investors. Unlike the United States and other developed countries, there are few, if any, institutionalized angel groups in China today.  AngelVest has grown to be the leading organized angel investment group in China, with presence mainly in Shanghai, Beijing and Hong Kong.",ECO15014,"AngelVest is based in Shanghai, China. Description: AngelVest Group was launched in 2007, in affiliation with the Shanghai chapter of the Asia America Multi Technology Association (“AAMA”), one of Silicon Valley’s leading business networks (www.aamasv.com). Their mission is to help their members identify and invest in compelling early-stage businesses in China. They also provide a venue for entrepreneurs to raise early-stage capital from accredited angel investors.  Entrepreneurs typically seek to raise from US $100K to $500K, and can enjoy the benefits of continued interaction and mentorship by their angel investors. Unlike the United States and other developed countries, there are few, if any, institutionalized angel groups in China today.  AngelVest has grown to be the leading organized angel investment group in China, with presence mainly in Shanghai, Beijing and Hong Kong."
AnimalBiome,animalbiome.com,Operating,IndieBio,Berkeley,United States,AnimalBiome creates microbiome-based therapeutics to treat the more than nine million cats and dogs in the U.S. living with chronic digestive disorders. We have developed a process for creating a fecal microbiota transplant pill that is stable at room temperature and highly effective.,IBSF041611,"AnimalBiome is based in Berkeley, United States. Description: AnimalBiome creates microbiome-based therapeutics to treat the more than nine million cats and dogs in the U.S. living with chronic digestive disorders. We have developed a process for creating a fecal microbiota transplant pill that is stable at room temperature and highly effective."
Antibiotic Adjuvant (DBA SmartSteward),smartsteward.co,Written Down,IndieBio,Gainesville,United States,"Antibiotic Adjuvant DBA SmartSteward, is a digital health startup addressing the problem of antibiotic misuse to reduce antibiotic resistance, improve patient outcomes, and reduce patient cost of care. Our first product, SmartSteward, optimizes antibiotic use on skilled nursing facilities. We have 3 active pilots and are finishing our minimum viable product.",IBSF061711,"Antibiotic Adjuvant (DBA SmartSteward) is based in Gainesville, United States. Description: Antibiotic Adjuvant DBA SmartSteward, is a digital health startup addressing the problem of antibiotic misuse to reduce antibiotic resistance, improve patient outcomes, and reduce patient cost of care. Our first product, SmartSteward, optimizes antibiotic use on skilled nursing facilities. We have 3 active pilots and are finishing our minimum viable product."
